"Medicare Part D Drug Spending and Utilization, Calendar Years 2015 - 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Manufacturer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*Average spending per dosage unit reflects multiple routes of administration of the drug (e.g., intravenous, subcutaneous) which individually may have different unit pricing. Additional information regarding calculation of spending per unit can be found in the methodology document.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2015,,,,,,,,2016,,,,,,,,,2017,,,,,,,2018,,,,,,,,2019,,,,,,,,Yearly Change  ,
Acetaminophen-Codeine,Acetaminophen With Codeine,Mylan Instituti,"$7,367.69","34,028",937,747,$0.22,$7.86,$9.86,0,"$3,941.12","11,265",561,278,$0.35,$7.03,$14.18,0,"$6,536.65","16,773",622,272,$0.39,$10.51,$24.03,0,"$6,492.29","$18,013.00",613,323,$0.36,$10.59,$20.10,0,"$2,639.11","6,290",379,117,$0.42,$6.96,$22.56,0,16.41%,17.99%
Acetaminophen-Codeine,Acetaminophen With Codeine,Pharmaceutical,"$70,607.83","2,450,388","8,401","5,735",$0.03,$8.40,$12.31,0,"$68,867.39","2,391,656","8,088","5,422",$0.03,$8.51,$12.70,0,"$60,927.86","2,143,734","7,191","4,975",$0.03,$8.47,$12.25,0,"$55,356.05","$2,085,259.58","6,805","4,595",$0.03,$8.13,$12.05,0,"$45,324.73","1,780,632","5,933","4,039",$0.03,$7.64,$11.22,0,-4.61%,-3.16%
Acetaminophen-Codeine,Acetaminophen With Codeine,Qualitest/Par P,"$14,651,811.01","72,259,907","1,308,165","733,835",$0.20,$11.20,$19.97,0,"$5,094,335.93","18,175,056","291,910","163,705",$0.26,$17.45,$31.12,0,"$634,451.25","2,721,580","48,155","27,249",$0.23,$13.18,$23.28,0,"$1,270,810.45","$5,618,340.00","100,055","58,870",$0.22,$12.70,$21.59,0,"$1,908,279.80","7,623,464","136,895","66,073",$0.24,$13.94,$28.88,0,8.09%,4.71%
Acetaminophen-Codeine,Acetaminophen With Codeine,Ranbaxy Pharmac,"$2,893.57","13,420",252,161,$0.20,$11.48,$17.97,0,"$2,221.79","7,050",146,78,$0.31,$15.22,$28.48,0,"$1,412.03","4,931",76,34,$0.28,$18.58,$41.53,0,"$1,428.87","$4,526.00",60,28,$0.31,$23.81,$51.03,0,$245.99,886,15, ,$0.28,$16.40, ,1,-11.37%,8.04%
Acetaminophen-Codeine,Acetaminophen With Codeine,Teva USA,"$16,253,860.59","77,106,426","1,344,852","690,149",$0.20,$12.09,$23.55,0,"$20,307,503.68","88,827,817","1,594,581","773,830",$0.22,$12.74,$26.24,0,"$13,524,971.06","66,634,433","1,243,913","623,254",$0.20,$10.87,$21.70,0,"$7,239,430.25","$35,399,928.97","637,612","328,270",$0.20,$11.35,$22.05,0,"$4,115,815.49","19,022,262","357,816","160,579",$0.21,$11.50,$25.63,0,4.60%,0.73%
Acetazolamide,Acetazolamide,AHP,"$89,922.16","38,912",753,236,$2.31,$119.42,$381.03,0,"$51,669.23","22,051",426,102,$2.34,$121.29,$506.56,0,"$29,383.79","12,578",262,65,$2.34,$112.15,$452.06,0,"$6,569.86","$3,277.00",76,30,$2.00,$86.45,$219.00,0,"$8,149.46","3,515",73,27,$2.32,$111.64,$301.83,0,15.64%,0.08%
Acetazolamide,Acetazolamide,Avkare,"$2,218.54",929,25, ,$2.39,$88.74, ,1,"$3,039.86","1,268",15, ,$2.40,$202.66, ,1,"$4,433.18","2,466",34,13,$1.78,$130.39,$341.01,1,"$11,298.15","$5,896.00",123,43,$1.91,$91.85,$262.75,0,"$7,007.54","3,558",83,29,$1.99,$84.43,$241.64,0,4.18%,-4.44%
Acetazolamide,Acetazolamide,Heritage Pharma, , , , , , , , , , , , , , , , ,"$1,809,395.83","1,021,688","16,959","8,208",$1.77,$106.69,$220.44,0,"$5,920,486.01","$3,471,914.50","50,658","21,376",$1.68,$116.87,$276.97,0,"$4,647,331.86","2,817,513","43,275","19,224",$1.62,$107.39,$241.75,0,-3.32%,-4.11%
Acetazolamide,Acetazolamide,Lannett Co. Inc,"$12,572,036.42","6,482,633","99,250","35,781",$1.94,$126.67,$351.36,0,"$11,925,294.50","6,571,584","98,852","35,129",$1.81,$120.64,$339.47,0,"$12,248,498.25","6,546,353","98,091","35,416",$1.87,$124.87,$345.85,0,"$6,756,000.33","$3,847,085.36","60,037","25,842",$1.76,$112.53,$261.43,0,"$5,108,566.25","2,949,938","43,018","17,985",$1.73,$118.75,$284.05,0,-1.39%,-2.79%
Acetazolamide,Acetazolamide,Major Pharmaceu, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$8,557.12","3,790",65,48,$2.26,$131.65,$178.27,0, , 
Acetazolamide,Acetazolamide,Marlex Pharm., , , , , , , , ,"$2,797.64","1,321",25,14,$2.12,$111.91,$199.83,1,"$5,197.48","1,936",31,12,$2.68,$167.66,$433.12,0,"$1,860.29",$812.00,16,11,$2.29,$116.27,$169.12,1,$768.52,412,15, ,$1.87,$51.23, ,1,-18.58%,-4.14%
Acetazolamide,Acetazolamide,Strides Pharma, , , , , , , , , , , , , , , , , , , , , , , , ,"$1,824,542.64","$1,150,653.50","17,044","7,608",$1.58,$107.05,$239.82,0,"$4,609,405.51","3,078,135","45,957","19,596",$1.49,$100.30,$235.22,0,-5.80%,-5.80%
Acetazolamide,Acetazolamide,Taro Pharm USA,"$13,232,175.87","7,143,206","117,688","44,769",$1.84,$112.43,$295.57,0,"$13,935,838.90","7,459,927","123,302","46,280",$1.85,$113.02,$301.12,0,"$12,494,732.81","6,670,882","110,617","43,521",$1.86,$112.95,$287.10,0,"$10,677,725.59","$6,412,579.73","105,770","42,718",$1.65,$100.95,$249.96,0,"$9,683,173.63","6,247,582","98,563","42,180",$1.54,$98.24,$229.57,0,-6.95%,-4.45%
Acetazolamide ER,Acetazolamide,AHP,"$65,728.74","22,883",711,447,$2.87,$92.45,$147.04,0,"$52,715.06","19,618",607,363,$2.69,$86.85,$145.22,0,"$33,293.12","12,069",400,231,$2.76,$83.23,$144.13,0,"$5,974.87","$2,978.00",101,73,$2.01,$59.16,$81.85,0,"$5,211.06","2,392",59,31,$2.18,$88.32,$168.10,0,8.58%,-6.68%
Acetazolamide ER,Acetazolamide,Heritage Pharma,"$4,459,483.22","1,626,520","30,719","12,935",$2.74,$145.17,$344.76,0,"$5,739,218.68","2,429,780","45,389","17,198",$2.36,$126.45,$333.71,0,"$5,371,567.75","2,312,173","43,624","17,514",$2.32,$123.13,$306.70,0,"$3,587,633.85","$1,818,368.00","33,759","15,292",$1.97,$106.27,$234.61,0,"$4,180,544.77","2,336,105","38,660","18,827",$1.79,$108.14,$222.05,0,-9.30%,-10.12%
Acetazolamide ER,Acetazolamide,Ingenus Pharmac, , , , , , , , , , , , , , , , ,"$21,538.01","8,860",120,111,$2.43,$179.48,$194.04,0,"$1,874,188.51","$948,289.00","15,238","6,243",$1.98,$122.99,$300.21,0,"$2,851,850.39","1,583,378","25,875","10,214",$1.80,$110.22,$279.21,0,-8.87%,-13.92%
Acetazolamide ER,Acetazolamide,Nostrum Laborat, , , , , , , , ,"$9,054.48","3,839",59,55,$2.36,$153.47,$164.63,0,"$526,427.00","233,660","3,966","1,762",$2.25,$132.73,$298.77,0,"$438,464.49","$253,159.00","4,260","2,038",$1.73,$102.93,$215.14,0,"$1,158,141.13","692,312","11,174","5,372",$1.67,$103.65,$215.59,0,-3.41%,-10.82%
Acetazolamide ER,Acetazolamide,Teva USA,"$3,780,881.60","1,414,220","29,957","12,823",$2.67,$126.21,$294.85,0,"$1,101,176.65","455,237","10,606","6,041",$2.42,$103.83,$182.28,0,"$525,877.54","214,155","4,745","2,472",$2.46,$110.83,$212.73,0,"$269,325.92","$126,127.48","2,487","1,200",$2.14,$108.29,$224.44,0,"$61,443.52","31,101",575,303,$1.98,$106.86,$202.78,0,-7.48%,-7.28%
Acetazolamide ER,Acetazolamide,Zydus Pharmaceu,"$2,964,984.53","1,065,805","21,330","9,878",$2.78,$139.01,$300.16,0,"$3,519,167.02","1,515,642","28,590","13,033",$2.32,$123.09,$270.02,0,"$4,410,968.22","1,869,027","33,411","15,246",$2.36,$132.02,$289.32,0,"$3,473,407.20","$1,680,160.23","29,122","14,031",$2.07,$119.27,$247.55,0,"$775,713.60","401,395","7,847","4,827",$1.93,$98.85,$160.70,0,-6.52%,-8.71%
Acetazolamide Sodium,Acetazolamide Sodium,West-Ward/Hikma, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$2,911.16",230,11, ,$12.66,$264.65, ,1, , 
Acetazolamide Sodium,Acetazolamide Sodium,X-Gen Pharmaceu, , , , , , , , ,"$28,722.54",656,26, ,$43.78,"$1,104.71", ,1,"$25,175.09","1,275",52, ,$19.75,$484.14, ,0,"$25,783.77","$1,488.00",61, ,$17.33,$422.68, ,0,"$14,461.01",916,35, ,$15.79,$413.17, ,1,-8.89%,-28.82%
Acetic Acid*,Acetic Acid,B.Braun,"$23,449.90","4,471,320","2,352",650,$0.01,$9.97,$36.08,0,"$22,439.60","3,912,396","2,202",660,$0.01,$10.19,$34.00,0,"$25,465.73","5,096,636","2,703",751,$0.00,$9.42,$33.91,0,"$43,188.85","$8,378,572.50","4,556","1,237",$0.01,$9.48,$34.91,0,"$53,852.22","9,429,484","5,258","1,587",$0.01,$10.24,$33.93,0,10.79%,2.15%
Acetic Acid*,Acetic Acid,Baxter Healthca,"$92,314.60","14,803,965","8,814","2,321",$0.01,$10.47,$39.77,0,"$106,925.02","14,390,315","9,029","2,414",$0.01,$11.84,$44.29,0,"$118,871.94","16,992,913","10,199","2,718",$0.01,$11.66,$43.74,0,"$144,508.04","$19,840,913.00","11,932","3,293",$0.01,$12.11,$43.88,0,"$131,418.06","17,275,509","10,991","3,113",$0.01,$11.96,$42.22,0,4.45%,5.10%
Acetic Acid*,Acetic Acid,Hi-Tech/Akorn C,"$105,195.90","61,712","3,947","2,958",$1.70,$26.65,$35.56,0,"$197,356.10","121,212","7,559","6,153",$1.63,$26.11,$32.07,0,"$422,038.50","266,686","16,690","13,524",$1.58,$25.29,$31.21,0,"$480,695.18","$294,243.00","18,569","15,020",$1.63,$25.89,$32.00,0,"$550,036.39","340,968","21,762","18,122",$1.61,$25.28,$30.35,0,-1.26%,-1.37%
Acetic Acid*,Acetic Acid,Hospira/Icu Med,"$281,840.16","20,508,557","14,804","2,963",$0.01,$19.04,$95.12,0,"$319,055.50","21,885,497","15,587","3,239",$0.01,$20.47,$98.50,0,"$346,303.39","24,322,383","18,165","3,779",$0.01,$19.06,$91.64,0,"$284,434.66","$20,083,564.67","14,836","3,632",$0.01,$19.17,$78.31,0,"$329,358.40","22,368,798","17,022","3,963",$0.01,$19.35,$83.11,0,3.96%,1.74%
Acetic Acid*,Acetic Acid,Morton Grove Ph,"$254,009.39","150,860","9,497","7,525",$1.68,$26.75,$33.76,0,"$314,772.78","191,018","12,054","9,750",$1.65,$26.11,$32.28,0,"$466,200.59","291,871","18,428","15,007",$1.60,$25.30,$31.07,0,"$553,192.97","$338,744.00","21,542","17,691",$1.63,$25.68,$31.27,0,"$261,587.42","158,758","10,146","8,917",$1.65,$25.78,$29.34,0,0.90%,-0.54%
Acetic Acid*,Acetic Acid,Rising Pharm, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$58,233.73","35,861","2,279","2,099",$1.62,$25.55,$27.74,0, , 
Acetylcysteine*,Acetylcysteine,Akorn Inc., , , , , , , , ,"$6,068.54","2,880",15, ,$2.11,$404.57, ,1,"$26,717.83","4,710",39,20,$5.67,$685.07,"$1,335.89",0,"$46,852.11","$8,747.00",126,53,$5.36,$371.84,$884.00,0,"$3,781.97",660,12, ,$5.73,$315.16, ,1,6.98%,39.58%
Acetylcysteine*,Acetylcysteine,Amer. Regent,"$143,119.49","126,050","1,897",677,$1.13,$75.45,$211.40,0,"$412,138.85","323,618","4,239","1,324",$1.28,$97.23,$311.28,0,"$760,471.55","419,618","5,474","1,810",$1.86,$138.92,$420.15,0,"$730,470.03","$413,993.50","4,963","1,664",$1.82,$147.18,$438.98,0,"$671,811.82","399,407","4,092","1,239",$1.76,$164.18,$542.22,0,-3.37%,11.56%
Acetylcysteine*,Acetylcysteine,App/Fresenius K,"$480,928.12","625,916","9,804","3,613",$0.77,$49.05,$133.11,0,"$734,306.28","912,211","12,715","3,987",$0.81,$57.75,$184.18,0,"$1,012,396.08","1,051,779","14,060","4,707",$0.97,$72.01,$215.08,0,"$502,478.88","$507,152.00","6,793","2,726",$0.99,$73.97,$184.33,0,"$638,408.77","681,199","8,653","2,849",$0.94,$73.78,$224.08,0,-4.77%,5.24%
Acetylcysteine*,Acetylcysteine,Auromedics Phar, , , , , , , , , , , , , , , , ,"$15,583.59","2,454",23,12,$6.35,$677.55,"$1,298.63",1,"$48,903.26","$7,557.00",99,36,$6.47,$493.97,"$1,358.42",0,"$24,495.12","4,602",91,26,$5.32,$269.18,$942.12,0,-17.75%,-8.45%
Acetylcysteine*,Acetylcysteine,Fresenius Kabi*,"$107,681.13","18,919",205,73,$5.69,$525.27,"$1,475.08",0,"$32,880.26","6,011",104,47,$5.47,$316.16,$699.58,0,"$28,078.29","6,317",80,53,$4.44,$350.98,$529.78,0,"$51,600.21","$9,675.00",127,56,$5.33,$406.30,$921.43,0,"$31,442.39","7,468",67,32,$4.38,$469.29,$982.57,1,-17.96%,-6.36%
Acetylcysteine*,Acetylcysteine,Hospira/Pfizer,"$367,769.41","1,048,601","12,395","3,853",$0.35,$29.67,$95.45,0,"$344,282.26","913,506","10,575","3,280",$0.38,$32.56,$104.96,0,"$277,312.11","741,176","8,833","2,965",$0.37,$31.40,$93.53,0,"$356,230.36","$975,593.00","11,372","3,395",$0.37,$31.33,$104.93,0,"$452,412.58","1,240,980","14,748","4,098",$0.36,$30.68,$110.40,0,-0.15%,0.99%
Acetylcysteine*,Acetylcysteine,Perrigo Co.,"$240,954.96","49,228",516,229,$4.89,$466.97,"$1,052.21",0,"$200,628.20","40,108",416,182,$5.00,$482.28,"$1,102.35",0,"$263,422.60","54,245",480,259,$4.86,$548.80,"$1,017.08",0,"$402,533.84","$81,016.50",728,286,$4.97,$552.93,"$1,407.46",0,"$153,754.04","33,642",366,132,$4.57,$420.09,"$1,164.80",0,-8.02%,-1.70%
Acetylcysteine*,Acetylcysteine,Sagent Pharmace, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$9,337.96","2,310",22,11,$4.04,$424.45,$848.91,1, , 
Aciphex,Rabeprazole Sodium,Eisai Inc.,"$30,821,878.88","2,211,045","36,471","7,200",$13.94,$845.11,"$4,280.82",0,"$27,853,938.57","1,799,084","28,174","5,504",$15.48,$988.64,"$5,060.67",0,"$25,305,061.08","1,495,019","21,938","4,461",$16.93,"$1,153.48","$5,672.51",0,"$22,178,234.16","$1,299,928.00","18,573","3,781",$17.06,"$1,194.11","$5,865.71",0,"$19,678,260.33","1,153,216","15,888","3,324",$17.06,"$1,238.56","$5,920.05",0,0.02%,5.18%
Acitretin,Acitretin,Avkare, , , , , , , , , , , , , , , , ,"$10,672.92",582,18,15,$18.26,$592.94,$711.53,1,"$583,832.34","$35,220.00","1,032",368,$16.58,$565.73,"$1,586.50",0,"$657,387.56","46,026","1,374",495,$14.31,$478.45,"$1,328.06",0,-13.67%,-11.47%
Acitretin,Acitretin,Impax Generics, , , , , , , , , , , , , , , , ,"$1,937,135.20","98,781","2,912","1,304",$19.70,$665.23,"$1,485.53",0,"$3,976,226.32","$235,349.00","6,836","2,197",$17.00,$581.66,"$1,809.84",0,"$5,295,419.08","359,468","10,174","2,757",$14.77,$520.49,"$1,920.72",0,-13.13%,-13.41%
Acitretin,Acitretin,Mylan, , , , , , , , ,"$4,158,604.99","213,430","5,785","1,859",$19.62,$718.86,"$2,237.01",0,"$5,326,300.93","269,028","7,402","2,170",$19.86,$719.58,"$2,454.52",0,"$6,806,742.23","$397,766.00","10,780","2,670",$17.14,$631.42,"$2,549.34",0,"$6,689,589.80","466,897","12,718","3,074",$14.38,$525.99,"$2,176.18",0,-16.11%,-9.84%
Acitretin,Acitretin,Prasco Labs,"$12,781,629.75","531,100","15,207","3,850",$24.21,$840.51,"$3,319.90",0,"$5,126,228.24","249,963","7,632","2,665",$20.57,$671.68,"$1,923.54",0,"$3,893,531.83","189,639","5,671","2,004",$20.55,$686.57,"$1,942.88",0,"$2,885,523.35","$166,575.00","4,929","1,511",$17.33,$585.42,"$1,909.68",0,"$676,158.76","43,780","1,298",668,$15.50,$520.92,"$1,012.21",0,-10.54%,-10.54%
Acitretin,Acitretin,Sigmapharm Labo,"$131,656.06","5,353",160,125,$24.62,$822.85,"$1,053.25",0,"$5,181,745.52","248,063","6,808","1,969",$20.94,$761.13,"$2,631.66",0,"$8,317,761.55","442,328","10,855","3,352",$18.93,$766.26,"$2,481.43",0,"$6,335,444.95","$411,558.00","10,142","2,722",$15.56,$624.67,"$2,327.50",0,"$6,034,527.99","429,709","12,600","2,812",$14.13,$478.93,"$2,145.99",0,-9.19%,-12.95%
Acitretin,Acitretin,Teva USA,"$18,020,147.23","751,217","18,999","4,936",$24.17,$948.48,"$3,650.76",0,"$11,125,013.16","540,227","13,408","3,878",$20.79,$829.73,"$2,868.75",0,"$6,666,239.29","318,763","7,969","2,531",$21.04,$836.52,"$2,633.84",0,"$4,598,592.73","$261,833.00","7,276","2,038",$17.61,$632.02,"$2,256.42",0,"$4,265,304.76","255,481","7,117","1,960",$16.76,$599.31,"$2,176.18",0,-4.78%,-8.74%
Actemra Actpen,Tocilizumab,"Genentech, Inc.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$17,195,137.67","14,862","4,465","1,177","$1,156.96","$3,851.09","$14,609.29",0, , 
Actemra*,Tocilizumab,"Genentech, Inc.*","$43,506,165.44","119,325","17,891","2,925",$677.19,"$2,431.73","$14,873.90",0,"$61,489,156.80","137,157","22,160","3,499",$784.73,"$2,774.78","$17,573.35",0,"$86,400,039.01","151,318","27,277","4,701",$906.82,"$3,167.51","$18,379.08",0,"$130,523,440.19","$185,715.59","36,091","5,786","$1,015.80","$3,616.51","$22,558.49",0,"$132,676,233.62","198,567","35,730","5,446","$1,017.94","$3,713.30","$24,362.14",0,0.21%,10.73%
Acthar,Corticotropin,Mallinckrodt Ph,"$503,999,371.37","73,820","11,186","3,104","$6,827.41","$45,056.26","$162,370.93",0,"$636,174,839.71","91,690","12,834","3,076","$6,938.32","$49,569.49","$206,818.87",0,"$680,958,459.15","92,635","12,480","2,841","$7,350.98","$54,563.98","$239,689.71",0,"$724,638,118.93","$90,830.00","11,907","2,475","$7,977.96","$60,858.16","$292,783.08",0,"$668,892,380.25","82,995","10,965","2,102","$8,059.43","$61,002.50","$318,217.12",0,1.02%,4.23%
Acthib,Haemoph B Poly Conj-Tet Tox/PF,Sanofi-Pasteur,"$26,371.43",718,678,588,$36.73,$38.90,$44.85,0,"$11,731.27",277,292,265,$42.43,$40.18,$44.27,1,"$14,139.76",438,434,379,$32.28,$32.58,$37.31,1,"$27,574.35",$815.90,786,704,$33.80,$35.08,$39.17,1,"$44,034.23","1,129","1,132",949,$39.00,$38.90,$46.40,1,15.41%,1.51%
Actigall,Ursodiol,Actavis/Allerga,"$835,932.32","119,153",865,190,$7.02,$966.40,"$4,399.64",0,"$784,865.18","103,610",753,157,$7.58,"$1,042.32","$4,999.14",0,"$872,869.19","101,554",727,160,$8.60,"$1,200.65","$5,455.43",0,"$856,611.14","$92,501.00",634,136,$9.26,"$1,351.12","$6,298.61",0,"$355,816.70","38,199",296,111,$9.31,"$1,202.08","$3,205.56",0,0.59%,7.34%
Actigall,Ursodiol,Allergan Inc., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$382,136.46","40,978",256,95,$9.33,"$1,492.72","$4,022.49",0, , 
Actimmune,"Interferon Gamma-1b,Recomb.",Horizon Pharma,"$24,298,651.79","3,846",505,62,"$6,318.72","$48,116.14","$391,913.74",0,"$22,560,662.62","3,114",452,64,"$7,246.08","$49,912.97","$352,510.35",0,"$21,874,057.57","2,662",410,50,"$8,217.15","$53,351.36","$437,481.15",0,"$20,697,515.11","$2,307.00",369,53,"$8,971.61","$56,090.83","$390,519.15",0,"$20,879,139.70","2,227",381,47,"$9,377.56","$54,800.89","$444,237.01",0,4.52%,10.37%
Actiq,Fentanyl Citrate,Teva USA,"$2,781,813.95","26,861",220,36,$100.82,"$12,644.61","$77,272.61",1,"$2,808,034.30","23,430",174,19,$118.34,"$16,138.13","$147,791.28",1,"$2,198,170.86","17,102",123,14,$122.22,"$17,871.31","$157,012.20",1,"$1,327,670.59","$9,625.00",71, ,$129.56,"$18,699.59", ,1,"$1,185,811.16","9,300",61, ,$121.98,"$19,439.53", ,1,-5.85%,4.88%
Activella,Estradiol/Norethindrone Acet,Gemini/Amneal, , , , , , , , ,"$188,366.55","24,780",532,210,$7.62,$354.07,$896.98,0,"$486,361.41","63,379","1,448",288,$7.69,$335.88,"$1,688.75",0,"$513,016.96","$61,686.00","1,326",256,$8.34,$386.89,"$2,003.97",0,"$292,093.79","30,604",675,210,$9.52,$432.73,"$1,390.92",0,14.21%,7.72%
Actonel,Risedronate Sodium,Actavis/Allerga,"$45,287,749.15","797,304","129,792","39,646",$85.57,$348.93,"$1,142.30",0,"$8,750,172.97","112,627","22,128","5,951",$138.94,$395.43,"$1,470.37",0,"$4,832,386.05","55,641","9,754","2,228",$157.84,$495.43,"$2,168.93",0,"$3,671,232.33","$36,899.00","6,595","1,445",$173.73,$556.67,"$2,540.65",0,"$2,907,325.96","27,665","4,581","1,064",$180.20,$634.65,"$2,732.45",0,3.72%,20.46%
Actoplus Met,Pioglitazone HCl/Metformin HCl,Takeda Pharmace,"$927,246.26","117,072","1,355",322,$7.92,$684.31,"$2,879.65",0,"$734,156.55","84,067",953,216,$8.73,$770.36,"$3,398.87",0,"$609,761.63","64,831",712,161,$9.41,$856.41,"$3,787.34",0,"$461,467.05","$47,787.00",556,113,$9.66,$829.98,"$4,083.78",0,"$374,075.50","38,502",433,91,$9.71,$863.92,"$4,110.72",0,0.61%,5.24%
Actoplus Met XR,Pioglitazone HCl/Metformin HCl,Takeda Pharmace,"$2,801,788.81","270,702","3,356",878,$11.28,$834.86,"$3,191.10",0,"$2,754,835.69","246,672","2,974",732,$12.16,$926.31,"$3,763.44",0,"$2,700,191.45","228,128","2,554",617,$12.78,"$1,057.24","$4,376.32",0,"$1,648,279.84","$136,444.00","1,541",536,$13.11,"$1,069.62","$3,075.15",0,"$10,992.28",837,13,12,$14.64,$845.56,$916.02,1,11.62%,6.74%
Actos,Pioglitazone HCl,Takeda Pharmace,"$4,862,952.80","332,279","6,763","1,554",$14.74,$719.05,"$3,129.31",0,"$3,850,687.67","240,651","4,711","1,055",$16.09,$817.38,"$3,649.94",0,"$3,428,174.99","195,724","3,749",808,$17.55,$914.42,"$4,242.79",0,"$2,784,260.16","$159,372.00","2,982",632,$17.42,$933.69,"$4,405.47",0,"$2,293,887.44","132,352","2,461",546,$17.30,$932.10,"$4,201.26",0,-0.70%,4.08%
Acular,Ketorolac Tromethamine,Allergan Inc.,"$105,496.14","2,991",450,202,$35.27,$234.44,$522.26,1,"$107,631.23","2,775",439,204,$38.79,$245.17,$527.60,1,"$104,287.51","2,815",430,222,$37.05,$242.53,$469.76,0,"$89,458.99","$2,401.00",383,216,$37.26,$233.57,$414.16,0,"$73,030.12","1,865",297,177,$39.16,$245.89,$412.60,0,5.10%,2.65%
Acular Ls,Ketorolac Tromethamine,Allergan Inc.,"$127,423.16","3,421",573,277,$37.25,$222.38,$460.01,1,"$91,009.22","2,131",347,161,$42.71,$262.27,$565.27,1,"$62,510.71","1,300",207,97,$48.09,$301.98,$644.44,0,"$55,760.95","$1,170.00",183,87,$47.66,$304.70,$640.93,1,"$42,093.70",895,128,61,$47.03,$328.86,$690.06,0,-1.32%,6.00%
Acuvail,Ketorolac Tromethamine/PF,Allergan Inc.,"$520,734.95","70,525","1,655",877,$7.38,$314.64,$593.77,0,"$481,254.14","56,785","1,319",630,$8.48,$364.86,$763.90,0,"$349,931.47","38,222",826,408,$9.16,$423.65,$857.68,0,"$350,759.69","$34,304.00",771,343,$10.23,$454.94,"$1,022.62",0,"$292,214.13","27,503",587,274,$10.62,$497.81,"$1,066.47",0,3.91%,9.52%
Acyclovir Sodium,Acyclovir Sodium,App/Fresenius K,"$59,650.36","97,034",280,114,$0.62,$213.04,$523.25,0,"$52,381.67","106,136",242,91,$0.50,$216.45,$575.62,0,"$26,021.02","52,628",131,60,$0.49,$198.63,$433.68,0,"$25,786.87","$40,780.00",110,45,$0.63,$234.43,$573.04,0,"$40,094.40","58,521",166,50,$0.69,$241.53,$801.89,1,8.35%,2.63%
Acyclovir Sodium,Acyclovir Sodium,Auromedics Phar,"$25,169.70","32,732",131,66,$0.77,$192.14,$381.36,0,"$42,418.58","83,752",242,98,$0.51,$175.28,$432.84,0,"$43,696.84","89,670",282,97,$0.49,$154.95,$450.48,0,"$52,842.31","$59,395.50",235,73,$0.89,$224.86,$723.87,0,"$28,476.29","43,926",157,74,$0.65,$181.38,$384.81,0,-27.13%,-4.18%
Acyclovir*,Acyclovir,AHP,"$2,171.82","8,668",211,115,$0.26,$10.29,$18.89,0,"$3,081.10","10,754",257,173,$0.30,$11.99,$17.81,0,"$4,844.20","23,424",439,265,$0.23,$11.03,$18.28,0,"$1,022.57","$4,734.00",103,58,$0.22,$9.93,$17.63,0,"$1,461.11","4,491",89,71,$0.42,$16.42,$20.58,0,89.59%,12.88%
Acyclovir*,Acyclovir,Actavis/Teva*,"$11,007,808.61","1,516,989","21,533","14,481",$15.08,$511.21,$760.16,0,"$9,132,962.09","1,589,942","19,502","12,182",$12.98,$468.31,$749.71,0,"$5,063,247.72","1,496,598","13,067","8,302",$10.61,$387.48,$609.88,0,"$2,786,650.76","$1,818,232.11","8,557","4,970",$6.93,$325.66,$560.69,0,"$2,026,172.88","1,793,648","6,941","3,879",$4.89,$291.91,$522.34,0,-29.34%,-24.52%
Acyclovir*,Acyclovir,Alembic Pharmac, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$484,153.27","64,225","2,292","1,199",$7.54,$211.24,$403.80,1, , 
Acyclovir*,Acyclovir,Amneal Pharmace,"$11,019,982.56","663,848","24,174","18,299",$16.60,$455.86,$602.22,0,"$15,138,659.14","1,004,018","42,356","30,078",$15.08,$357.41,$503.31,0,"$9,320,843.72","707,703","27,798","20,703",$13.17,$335.31,$450.22,0,"$6,979,062.17","$673,592.00","25,840","18,936",$10.36,$270.09,$368.56,0,"$4,248,714.06","542,040","21,901","15,870",$7.84,$194.00,$267.72,0,-24.35%,-17.10%
Acyclovir*,Acyclovir,Apotex Corp,"$4,421,097.39","21,715,862","311,447","130,310",$0.21,$14.20,$33.93,0,"$5,001,517.87","25,424,336","363,985","152,001",$0.20,$13.74,$32.90,0,"$2,909,300.49","17,109,368","246,047","108,646",$0.18,$11.82,$26.78,0,"$1,645,311.67","$8,888,750.10","112,698","50,311",$0.19,$14.60,$32.70,0,"$1,752,022.69","9,376,954","119,676","60,214",$0.20,$14.64,$29.10,0,4.68%,-1.75%
Acyclovir*,Acyclovir,Avkare,"$3,835.38","13,728",261,133,$0.31,$14.69,$28.84,0,$677.26,"1,799",32,26,$0.54,$21.16,$26.05,1,$388.92,"2,122",26, ,$0.19,$14.96, ,1, , , , , , , , ,"$1,347.33","6,008",53,34,$0.22,$25.42,$39.63,0, ,-7.73%
