"Medicare Part D Drug Spending and Utilization, Calendar Years 2015 - 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*Average spending per dosage unit reflects multiple routes of administration of the drug (e.g., intravenous, subcutaneous) which individually may have different unit pricing. Additional information regarding calculation of spending per unit can be found in the methodology document.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Calendar Year 2015,,,,,,,,Calendar Year 2016,,,,,,,,Calendar Year 2017,,,,,,,,Calendar Year 2018,,,,,,,,Calendar Year 2019,,,,,,,,Yearly Change  ,
Adrenalin,Epinephrine,1,$900.85,"1,085",149,134,$0.94,$6.05,$6.72,0,"$3,072.26","1,018",199,173,$6.26,$15.44,$17.76,0,"$8,113.79","1,403",265,170,$13.77,$30.62,$47.73,0,"$21,787.27","7,243",490,395,$2.83,$44.46,$55.16,1,"$13,254.02","5,026",380,313,$2.46,$34.88,$42.35,1,-12.81%,27.38%
Adriamycin,Doxorubicin HCl,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$1,667.28","1,180",17, ,$1.45,$98.08, ,1, , 
Adrucil,Fluorouracil,1,"$6,138.02","144,779",148,46,$0.28,$41.47,$133.44,0,"$4,998.21","85,344",150,58,$0.35,$33.32,$86.18,0,"$1,183.78","2,939",42,17,$0.41,$28.19,$69.63,1,"$2,555.37","4,771",78,27,$0.56,$32.76,$94.64,0,"$1,584.77","3,305",43,11,$0.48,$36.86,$144.07,0,-13.98%,13.97%
Advair Diskus,Fluticasone Propion/Salmeterol,1,"$2,270,015,725.80","430,415,878","5,648,232","1,321,497",$5.28,$401.90,"$1,717.76",0,"$2,320,125,120.00","401,111,250","5,194,283","1,196,225",$5.79,$446.67,"$1,939.54",0,"$2,374,829,262.10","381,843,204","4,880,948","1,135,906",$6.22,$486.55,"$2,090.69",0,"$2,394,014,929.40","356,769,179","4,398,143","1,031,076",$6.71,$544.32,"$2,321.86",0,"$1,449,351,617.00","226,607,498","2,681,962","769,382",$6.38,$540.41,"$1,883.79",0,-4.79%,4.87%
Advair HFA,Fluticasone Propion/Salmeterol,1,"$162,068,026.85","5,758,006","397,801","111,407",$28.14,$407.41,"$1,454.74",0,"$191,547,446.48","6,191,518","423,068","114,090",$30.93,$452.76,"$1,678.92",0,"$227,906,083.25","6,778,467","459,895","120,487",$33.61,$495.56,"$1,891.54",0,"$260,118,570.65","7,031,635","461,789","121,673",$36.95,$563.28,"$2,137.85",0,"$276,684,507.83","7,459,551","481,413","127,317",$37.02,$574.73,"$2,173.19",0,0.19%,7.10%
Advocate Pen Needle,"Pen Needle, Diabetic",1, , , , , , , , , , , , , , , , ,"$11,333.12","20,890",145,98,$0.54,$78.16,$115.64,0,"$99,685.13","178,610","1,282",745,$0.56,$77.76,$133.81,0,"$176,740.05","297,000","2,021","1,177",$0.60,$87.45,$150.16,0,6.62%,4.73%
Advocate Pen Needles,"Pen Needle, Diabetic",1,"$220,489.52","530,886","3,590","1,292",$0.42,$61.42,$170.66,0,"$370,554.37","854,839","7,122","2,470",$0.43,$52.03,$150.02,0,"$754,117.55","1,625,669","13,875","4,784",$0.46,$54.35,$157.63,0,"$1,480,139.85","3,118,960","24,471","8,093",$0.47,$60.49,$182.89,0,"$1,659,681.10","3,066,629","26,142","9,128",$0.54,$63.49,$181.82,0,14.08%,6.83%
Advocate Syringes,"Syring-Needl,Disp,Insul,0.3 Ml",1,"$47,999.14","118,860","1,111",454,$0.41,$43.20,$105.72,0,"$58,351.68","128,584","1,472",525,$0.45,$39.64,$111.15,0,"$49,487.25","99,446","1,354",410,$0.50,$36.55,$120.70,0,"$75,711.50","152,813","1,886",544,$0.50,$40.14,$139.18,0,"$101,128.01","190,445","2,338",732,$0.53,$43.25,$138.15,0,7.44%,6.92%
Advocate Syringes,"Syringe And Needle,Insulin,1ml",1,"$101,125.46","241,603","2,258",776,$0.42,$44.79,$130.32,0,"$142,271.90","308,281","3,211",952,$0.46,$44.31,$149.45,0,"$165,968.41","346,347","3,511","1,147",$0.48,$47.27,$144.70,0,"$304,063.64","644,564","5,426","1,771",$0.47,$56.04,$171.69,0,"$271,760.57","526,113","5,504","1,796",$0.52,$49.38,$151.31,0,9.49%,5.42%
Advocate Syringes,"Syringe-Needle,Insulin,0.5 Ml",1,"$108,176.02","260,397","2,649",863,$0.42,$40.84,$125.35,0,"$137,847.29","303,950","3,439","1,053",$0.45,$40.08,$130.91,0,"$155,444.32","319,674","3,640","1,164",$0.49,$42.70,$133.54,0,"$244,656.42","510,744","5,599","1,684",$0.48,$43.70,$145.28,0,"$299,670.27","576,896","6,701","1,987",$0.52,$44.72,$150.82,0,8.26%,5.75%
Adzenys ER,Amphetamine,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$7,770.87","5,250",12, ,$1.48,$647.57, ,1, , 
Adzenys XR-ODT,Amphetamine,1, , , , , , , , ,"$38,792.72","4,294",136,70,$9.04,$285.24,$554.18,0,"$188,694.14","19,142",577,189,$9.86,$327.03,$998.38,0,"$326,765.14","30,393",842,200,$10.75,$388.08,"$1,633.83",0,"$441,111.93","37,843","1,068",191,$11.66,$413.03,"$2,309.49",0,8.43%,8.86%
Afeditab Cr,Nifedipine,1,"$1,688,373.68","2,548,577","52,745","14,368",$0.66,$32.01,$117.51,0,"$929,662.33","1,637,512","34,110","10,156",$0.57,$27.25,$91.54,0,"$611,249.22","1,108,392","23,231","7,073",$0.55,$26.31,$86.42,0,"$185,527.48","339,006","7,182","2,599",$0.55,$25.83,$71.38,0,"$1,726.75","3,681",84,79,$0.47,$20.56,$21.86,0,-14.55%,-8.35%
Afinitor,Everolimus,1,"$393,806,655.94","1,036,555","35,959","7,661",$380.05,"$10,951.55","$51,404.08",0,"$348,526,179.50","828,457","28,931","5,963",$420.78,"$12,046.81","$58,448.13",0,"$345,174,449.62","726,263","25,496","5,551",$475.37,"$13,538.38","$62,182.39",0,"$386,491,662.51","727,436","25,459","5,544",$531.41,"$15,180.94","$69,713.50",0,"$444,602,963.71","772,157","26,978","5,764",$575.96,"$16,480.20","$77,134.45",0,8.38%,10.95%
Afinitor Disperz,Everolimus,1,"$961,772.45","2,540",64,22,$378.17,"$15,027.69","$43,716.93",0,"$2,260,208.15","5,322",79,25,$425.03,"$28,610.23","$90,408.33",0,"$3,143,771.66","6,666",119,26,$475.66,"$26,418.25","$120,914.29",0,"$4,462,227.20","8,462",183,34,$529.73,"$24,383.76","$131,241.98",0,"$6,103,971.61","10,528",263,52,$579.89,"$23,209.02","$117,384.07",0,9.47%,11.28%
Afirmelle,Levonorgestrel/Ethin.Estradiol,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,$662.40,"1,092",25,12,$0.61,$26.50,$55.20,1, , 
Afrezza,"Insulin Regular, Human",1, , , ,947, , , , ,"$396,166.93","134,460",700,720,$2.91,$565.95,$550.23,0,"$1,943,708.08","502,488","2,615",747,$3.83,$743.29,"$2,602.02",0,"$4,495,446.24","749,550","4,142","1,135",$6.00,"$1,085.33","$3,960.75",0,"$7,000,874.53","977,880","5,264","1,396",$7.18,"$1,329.95","$5,014.95",0,19.53%,35.04%
Aggrenox,Aspirin/Dipyridamole,1,"$234,269,235.93","36,556,293","503,816","101,410",$6.41,$464.99,"$2,310.12",0,"$89,841,610.12","11,532,878","171,779","29,076",$7.79,$523.01,"$3,089.89",0,"$57,412,389.92","6,919,528","101,106","19,726",$8.30,$567.84,"$2,910.49",0,"$54,177,207.55","6,707,169","84,764","17,397",$8.08,$639.15,"$3,114.17",0,"$14,126,956.93","2,064,696","19,712","8,129",$6.84,$716.67,"$1,737.85",0,-15.29%,1.65%
Agrylin,Anagrelide HCl,1,"$816,809.52","104,224",910,471,$7.84,$897.59,"$1,734.20",0,"$940,637.06","118,824","1,207",455,$7.92,$779.32,"$2,067.33",0,"$283,667.15","36,799",321,65,$7.71,$883.70,"$4,364.11",0,"$212,176.42","26,646",224,41,$7.96,$947.22,"$5,175.03",0,"$396,277.16","50,194",432,206,$7.89,$917.31,"$1,923.68",0,-0.85%,0.18%
Aimovig Autoinjector,Erenumab-Aooe,1, , , , , , , , , , , , , , , , , , , , , , , , ,"$12,485,893.16","21,507","17,478","8,254",$580.55,$714.38,"$1,512.71",0,"$119,459,268.00","201,965","169,428","36,038",$591.54,$705.07,"$3,314.81",0,1.89%,1.89%
Aimovig Autoinjector (2 Pack),Erenumab-Aooe,1, , , , , , , , , , , , , , , , , , , , , , , , ,"$6,163,955.34","21,189","9,917","4,790",$290.90,$621.55,"$1,286.84",0,"$11,334,891.53","38,322","18,101","7,828",$295.78,$626.20,"$1,447.99",0,1.68%,1.68%
Airduo Respiclick,Fluticasone Propion/Salmeterol,1, , , , , , , , , , , , , , , , ,"$89,673.00",444,287,221,$203.50,$312.45,$405.76,1,"$254,968.43",854,770,469,$298.50,$331.13,$543.64,0,"$270,035.48",850,779,530,$317.51,$346.64,$509.50,0,6.37%,24.91%
Ajovy Syringe,Fremanezumab-Vfrm,1, , , , , , , , , , , , , , , , , , , , , , , , ,"$1,033,232.41","2,656","1,498","1,199",$389.02,$689.74,$861.75,0,"$28,888,524.61","73,413","42,363","9,222",$393.51,$681.93,"$3,132.57",0,1.15%,1.15%
Ak-Poly-Bac,Bacitracin/Polymyxin B Sulfate,1,"$130,880.15","25,827","7,043","4,981",$5.07,$18.58,$26.28,0,"$43,222.79","9,289","2,493","1,854",$4.65,$17.34,$23.31,0,"$13,353.49","2,894",802,655,$4.61,$16.65,$20.39,0,"$4,002.05",879,247,199,$4.56,$16.20,$20.11,0,"$18,099.17","4,051","1,110",918,$4.47,$16.31,$19.72,0,-1.91%,-3.10%
Akten,Lidocaine HCl/PF,1,"$5,619.53",199,46,36,$28.24,$122.16,$156.10,0,"$2,600.44",115,33,24,$22.61,$78.80,$108.35,0,"$2,083.53",82,35,30,$25.41,$59.53,$69.45,0,"$2,452.77",94,53,45,$26.09,$46.28,$54.51,0,"$6,595.63",274,89,66,$24.07,$74.11,$99.93,0,-7.75%,-3.91%
Aktipak,Erythromycin/Benzoyl Peroxide,1, , , , , , , , , , , , , , , , , , , , , , , , ,"$8,230.26","1,860",30,22,$4.42,$274.34,$374.10,0,"$5,746.57","1,320",23,22,$4.35,$249.85,$261.21,1,-1.61%,-1.61%
Akynzeo,Fosnetupitant/Palonosetron,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$211,235.94",378,236,83,$558.83,$895.07,"$2,545.01",0, , 
Akynzeo,Netupitant/Palonosetron HCl,1, , , ,174, , , , , , , ,242, , , , ,"$520,642.63",963,629,305,$540.65,$827.73,"$1,707.03",0,"$683,619.20","1,264",612,230,$540.84,"$1,117.02","$2,972.26",0,"$476,884.71",819,545,194,$582.28,$875.02,"$2,458.17",0,7.66%,3.78%
Ala-Cort,Hydrocortisone,1,$867.21,"3,847",25,23,$0.23,$34.69,$37.70,1,"$2,305.95","1,565",32,28,$1.47,$72.06,$82.36,1,"$1,104.04","2,332",69,54,$0.47,$16.00,$20.45,0,$310.10,"1,986",66,57,$0.16,$4.70,$5.44,0,$293.84,"1,767",48,41,$0.17,$6.12,$7.17,0,6.36%,-7.27%
Ala-Scalp,Hydrocortisone,1,"$33,399.61","3,382",99,86,$9.88,$337.37,$388.37,0,"$46,655.03","4,326",130,99,$10.78,$358.88,$471.26,0,"$80,638.68","6,403",185,138,$12.59,$435.88,$584.34,0,"$115,641.27","8,023",255,188,$14.41,$453.50,$615.11,0,"$119,410.52","8,436",260,198,$14.16,$459.27,$603.08,0,-1.79%,9.41%
Albendazole,Albendazole,7, , , , , , , , , , , , , , , , , , , , , , , , ,"$2,032,186.29","11,751","1,110",877,$171.39,"$1,830.80","$2,317.20",0,"$10,981,811.94","74,555","6,114","4,573",$147.90,"$1,796.17","$2,401.45",0,-13.70%,-13.70%
Albenza,Albendazole,1,"$10,139,273.51","81,390","7,215","5,548",$124.58,"$1,405.30","$1,827.55",0,"$10,227,068.37","62,707","6,056","4,540",$163.09,"$1,688.75","$2,252.66",0,"$10,436,868.73","57,782","5,463","4,087",$180.62,"$1,910.46","$2,553.67",0,"$10,853,789.61","53,282","4,733","3,588",$203.70,"$2,293.22","$3,025.02",0,"$829,291.65","3,404",320,256,$243.62,"$2,591.54","$3,239.42",0,19.60%,18.26%
Albumin (Human),Albumin Human,1,"$35,665.30","29,752",268,18,$1.25,$133.08,"$1,981.41",0,"$17,916.24","15,850",43, ,$1.13,$416.66, ,0,"$18,919.19","16,900",48, ,$1.12,$394.15, ,0, , , , , , , , ,"$10,405.40","9,000",17, ,$1.16,$612.08, ,1, ,-1.93%
Albutein,Albumin Human,1,"$33,058.76","24,013",126,19,$1.38,$262.37,"$1,739.93",0,"$22,997.55","21,975",94,13,$1.08,$244.65,"$1,769.04",0,"$8,754.13","8,870",34, ,$1.08,$257.47, ,1,"$13,299.87","16,610",37,15,$0.98,$359.46,$886.66,1,"$16,969.05","19,470",24, ,$0.87,$707.04, ,1,-11.26%,-10.80%
Albuterol Sulfate HFA,Albuterol Sulfate,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$181,632,339.35","55,466,872","3,134,929","1,512,333",$3.73,$57.94,$120.10,0, , 
Albuterol Sulfate*,Albuterol Sulfate,15,"$30,153,714.25","83,539,413","717,056","244,987",$0.47,$42.05,$123.08,0,"$26,952,610.38","79,277,553","674,379","229,449",$0.44,$39.97,$117.47,0,"$25,613,516.74","73,630,100","632,895","225,557",$0.44,$40.47,$113.56,0,"$22,597,275.86","66,289,249","571,282","206,848",$0.42,$39.56,$109.25,0,"$22,127,978.93","57,986,268","511,810","185,317",$0.45,$43.23,$119.41,0,7.25%,-0.96%
Alclometasone Dipropionate,Alclometasone Dipropionate,3,"$2,405,585.98","1,607,162","39,027","26,608",$1.49,$61.64,$90.41,0,"$3,486,821.46","2,355,160","56,954","39,436",$1.48,$61.22,$88.42,0,"$3,789,013.46","2,609,637","64,080","44,157",$1.45,$59.13,$85.81,0,"$4,865,287.32","3,642,902","63,123","42,563",$1.33,$77.08,$114.31,0,"$4,342,590.98","3,568,011","64,538","44,166",$1.22,$67.29,$98.32,0,-8.15%,-4.88%
Alcohol Pads,Alcohol Antiseptic Pads,2,"$6,879,783.25","25,713,845","197,826","62,922",$0.27,$34.78,$109.34,0,"$11,268,768.39","34,708,515","267,981","74,260",$0.32,$42.05,$151.75,0,"$13,747,186.75","35,774,136","277,027","78,391",$0.38,$49.62,$175.37,0,"$23,123,138.85","55,090,123","381,178","112,879",$0.42,$60.66,$204.85,0,"$30,483,277.07","71,892,730","461,683","132,000",$0.42,$66.03,$230.93,0,0.97%,12.17%
Alcohol Prep Pads,Alcohol Antiseptic Pads,19,"$20,759,314.89","75,804,319","442,189","170,194",$0.25,$46.95,$121.97,0,"$27,243,194.49","88,375,022","557,306","185,613",$0.29,$48.88,$146.77,0,"$34,639,120.53","101,296,001","636,100","210,507",$0.33,$54.46,$164.55,0,"$39,466,843.10","110,689,700","673,323","226,228",$0.34,$58.62,$174.46,0,"$39,668,003.72","110,124,457","696,043","228,407",$0.34,$56.99,$173.67,0,1.24%,8.16%
Alcohol Swab,Alcohol Antiseptic Pads,1,"$44,100.61","1,449,608","13,005","4,458",$0.03,$3.39,$9.89,0,"$61,213.18","2,209,952","19,659","6,471",$0.03,$3.11,$9.46,0,"$237,118.72","5,761,227","36,908","20,919",$0.04,$6.42,$11.34,0,"$69,545.25","3,023,465","24,343","8,773",$0.02,$2.86,$7.93,0,"$136,433.95","4,387,510","36,936","11,105",$0.03,$3.69,$12.29,0,35.19%,0.55%
Alcohol Swabs,Alcohol Antiseptic Pads,11,"$222,717.27","9,300,875","71,651","34,724",$0.02,$3.11,$6.41,0,"$254,954.31","10,747,260","80,516","38,689",$0.02,$3.17,$6.59,0,"$248,681.92","10,516,925","79,294","39,505",$0.02,$3.14,$6.29,0,"$180,681.84","7,555,283","60,687","26,745",$0.02,$2.98,$6.76,0,"$190,851.95","7,562,448","61,372","26,412",$0.03,$3.11,$7.23,0,5.34%,1.49%
Alcohol Wipes,Alcohol Antiseptic Pads,4,"$13,393.33","388,762","3,511","1,070",$0.03,$3.81,$12.52,0,"$13,251.10","398,676","3,576","1,098",$0.03,$3.71,$12.07,0,"$22,755.54","553,519","5,098","1,680",$0.04,$4.46,$13.54,0,"$35,134.55","626,644","5,373","2,065",$0.06,$6.54,$17.01,0,"$34,874.59","565,911","4,698","1,900",$0.06,$7.42,$18.36,0,10.52%,15.75%
Aldactazide,Spironolact/Hydrochlorothiazid,1,"$363,444.03","139,799","2,530",716,$2.62,$143.65,$507.60,0,"$346,647.81","117,402","2,115",603,$2.99,$163.90,$574.87,0,"$299,258.80","88,553","1,503",429,$3.47,$199.11,$697.57,0,"$222,849.82","62,909","1,063",337,$3.69,$209.64,$661.28,0,"$239,456.54","65,014","1,047",322,$3.84,$228.71,$743.65,0,4.03%,9.96%
Aldactone,Spironolactone,1,"$483,565.23","220,974","3,264",806,$2.13,$148.15,$599.96,0,"$640,690.71","259,183","3,421",835,$2.43,$187.28,$767.29,0,"$725,594.00","240,878","3,213",802,$2.96,$225.83,$904.73,0,"$640,482.50","209,500","2,851",789,$3.11,$224.65,$811.76,0,"$611,625.55","196,969","2,456",656,$3.14,$249.03,$932.36,0,0.77%,10.19%
Aldara,Imiquimod,1,"$186,893.74","3,162",184,116,$59.11,"$1,015.73","$1,611.15",1,"$158,731.32","2,716",159,87,$58.44,$998.31,"$1,824.50",1,"$141,123.49","2,190",123,68,$64.44,"$1,147.35","$2,075.35",1,"$28,087.51","2,553",172,98,$11.00,$163.30,$286.61,1,"$13,506.61","1,764",95,51,$7.66,$142.17,$264.84,0,-30.40%,-40.01%
Aldurazyme,Laronidase,1,"$3,142,455.62","19,241",79, ,$163.32,"$39,777.92", ,0,"$2,541,409.44","14,960",63, ,$169.88,"$40,339.83", ,0,"$2,221,970.05","12,902",63, ,$172.22,"$35,269.37", ,0,"$3,006,096.58","16,850",66, ,$178.40,"$45,546.92", ,0,"$3,253,424.99","17,670",75, ,$184.12,"$43,379.00", ,0,3.21%,3.04%
Alecensa,Alectinib HCl,1,"$129,978.49","2,520",11,11,$51.58,"$11,816.23","$11,816.23", ,"$22,610,414.77","434,214","1,876",420,$52.07,"$12,052.46","$53,834.32",0,"$47,575,890.99","836,231","3,630",711,$56.89,"$13,106.31","$66,914.05",0,"$64,635,716.51","1,048,698","4,685",806,$61.63,"$13,796.31","$80,193.20",0,"$84,214,133.36","1,337,064","5,957",930,$62.98,"$14,137.00","$90,552.83",0,2.19%,5.12%
Alendronate Sodium,Alendronate Sodium,9,"$46,823,737.59","40,299,358","5,212,856","1,623,516",$1.24,$8.98,$28.84,0,"$48,007,642.02","47,393,687","5,940,926","1,652,754",$1.08,$8.08,$29.05,0,"$60,032,679.54","59,081,985","7,069,701","1,715,251",$1.09,$8.49,$35.00,0,"$68,137,261.88","66,347,480","7,458,786","1,781,915",$1.09,$9.14,$38.24,0,"$73,288,881.43","70,943,080","7,459,390","1,861,300",$1.10,$9.83,$39.38,0,0.85%,-2.96%
Alfuzosin HCl ER,Alfuzosin HCl,10,"$11,725,276.62","29,748,004","532,089","123,075",$0.40,$22.04,$95.27,0,"$13,039,641.55","34,000,475","588,942","136,328",$0.38,$22.14,$95.65,0,"$14,994,376.11","38,079,138","636,078","151,013",$0.39,$23.57,$99.29,0,"$17,771,524.24","42,323,235","678,747","167,398",$0.42,$26.18,$106.16,0,"$19,870,318.38","47,166,070","720,639","185,830",$0.42,$27.57,$106.93,0,0.67%,1.56%
Alimta,Pemetrexed Disodium,1,"$7,135,762.82","5,122","1,452",301,"$2,098.72","$4,914.44","$23,706.85",0,"$7,931,648.12","5,297","1,477",284,"$2,257.80","$5,370.11","$27,928.34",0,"$7,894,844.98","5,440","1,437",261,"$2,430.62","$5,493.98","$30,248.45",0,"$7,522,797.52","4,784","1,462",279,"$2,371.45","$5,145.55","$26,963.43",0,"$9,047,230.59","6,014","1,601",315,"$2,378.75","$5,650.99","$28,721.37",0,0.31%,3.18%
Alinia,Nitazoxanide,1,"$4,138,683.38","116,178","6,131","4,739",$36.58,$675.04,$873.32,0,"$7,042,244.91","116,265","5,973","4,600",$60.57,"$1,179.01","$1,530.92",0,"$10,051,857.73","120,166","5,748","4,348",$84.53,"$1,748.76","$2,311.83",0,"$11,892,395.74","120,442","5,535","4,126",$102.79,"$2,148.58","$2,882.31",0,"$13,663,258.50","120,262","5,608","4,181",$122.34,"$2,436.39","$3,267.94",0,19.02%,35.23%
Aliskiren,Aliskiren Hemifumarate,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$10,777,516.09","1,681,411","27,460","8,296",$6.42,$392.48,"$1,299.12",0, , 
Allopurinol,Allopurinol,17,"$138,408,078.75","529,114,202","8,412,473","1,696,020",$0.27,$16.45,$81.61,0,"$146,336,685.55","569,305,246","8,728,274","1,788,973",$0.26,$16.77,$81.80,0,"$151,807,384.32","600,815,095","8,858,446","1,875,826",$0.26,$17.14,$80.93,0,"$151,698,128.98","636,774,206","8,936,591","1,959,605",$0.24,$16.97,$77.41,0,"$147,483,011.95","673,019,547","8,998,248","2,052,228",$0.22,$16.39,$71.86,0,-8.27%,-4.26%
Allzital,Butalbital/Acetaminophen,1, , , , , , , , ,"$237,725.17","90,263",390,199,$2.63,$609.55,"$1,194.60",0,"$492,113.33","96,824",605,322,$5.08,$813.41,"$1,528.30",0,"$448,866.47","45,183",440,210,$9.93,"$1,020.15","$2,137.46",1,"$368,930.06","30,332",316,148,$12.16,"$1,167.50","$2,492.77",0,22.43%,66.53%
Almotriptan Malate,Almotriptan Malate,2, , , ,733, , , , ,"$930,989.40","36,382","2,599","1,404",$25.69,$358.21,$663.10,1,"$1,806,105.08","70,324","5,242","1,448",$25.69,$344.55,"$1,247.31",0,"$1,858,556.50","76,591","5,819","1,496",$24.29,$319.39,"$1,242.35",0,"$1,962,197.85","81,404","6,221","1,529",$24.12,$315.42,"$1,283.32",0,-0.71%,-2.08%
Alocril,Nedocromil Sodium,1,"$804,613.59","24,500","4,149","2,001",$32.84,$193.93,$402.11,0,"$744,283.12","20,170","3,311","1,658",$36.90,$224.79,$448.90,0,"$494,231.55","12,315","1,890",815,$40.13,$261.50,$606.42,0,"$439,814.02","9,865","1,545",663,$44.58,$284.67,$663.37,0,"$379,698.22","8,470","1,346",578,$44.83,$282.09,$656.92,0,0.55%,8.09%
Alogliptin,Alogliptin Benzoate,1, , , , , , , , ,"$1,444,228.04","228,751","5,416","2,056",$6.31,$266.66,$702.45,0,"$3,628,999.42","588,356","13,996","4,798",$6.17,$259.29,$756.36,0,"$7,271,325.04","1,196,640","26,376","8,107",$6.08,$275.68,$896.92,0,"$9,623,213.96","1,608,525","42,464","12,233",$5.98,$226.62,$786.66,0,-1.55%,-1.78%
Alogliptin-Metformin,Alogliptin Benz/Metformin HCl,1, , , , , , , , ,"$427,138.55","134,374","1,753",583,$3.18,$243.66,$732.66,0,"$814,215.17","263,661","3,370","1,137",$3.09,$241.61,$716.11,0,"$1,276,456.43","415,083","4,800","1,444",$3.08,$265.93,$883.97,0,"$1,606,779.13","569,728","7,582","1,999",$2.82,$211.92,$803.79,0,-8.30%,-3.91%
Alogliptin-Pioglitazone,Alogliptin Benz/Pioglitazone,1, , , , , , , , ,"$1,183,778.48","186,795","4,483","1,359",$6.34,$264.06,$871.07,0,"$1,714,286.31","278,197","6,462","1,609",$6.16,$265.29,"$1,065.44",0,"$1,451,429.08","233,785","4,924","1,166",$6.21,$294.77,"$1,244.79",0,"$1,245,707.44","203,762","4,346",996,$6.11,$286.63,"$1,250.71",0,-1.66%,-1.23%
Alomide,Lodoxamide Tromethamine,1,"$160,102.78","11,880",949,436,$13.48,$168.71,$367.21,0,"$157,530.87","10,685",846,371,$14.74,$186.21,$424.61,0,"$160,636.04","10,085",791,318,$15.93,$203.08,$505.14,0,"$156,348.28","9,088",700,293,$17.20,$223.35,$533.61,0,"$118,084.81","6,850",543,249,$17.24,$217.47,$474.24,0,0.20%,6.35%
Alora,Estradiol,2,"$874,385.65","96,935","8,283","2,194",$9.01,$105.56,$398.53,0,"$834,928.88","77,218","6,449","1,583",$10.80,$129.47,$527.43,0,"$553,681.64","45,337","3,684",951,$12.21,$150.29,$582.21,0,"$419,227.30","30,656","2,438",559,$13.68,$171.96,$749.96,0,"$377,881.87","27,604","2,080",479,$13.72,$181.67,$788.90,0,0.25%,11.07%
Alosetron HCl,Alosetron HCl,5,"$5,626,231.54","201,380","3,339","1,258",$27.79,"$1,685.00","$4,472.36",0,"$12,572,393.49","493,153","8,259","2,041",$25.51,"$1,522.27","$6,159.92",0,"$14,815,286.21","606,618","10,245","2,298",$24.53,"$1,446.10","$6,447.03",0,"$15,009,080.04","621,256","10,248","2,176",$24.24,"$1,464.59","$6,897.56",0,"$14,830,830.36","672,295","11,153","2,292",$22.16,"$1,329.76","$6,470.69",0,-8.60%,-5.50%
Aloxi,Palonosetron HCl,2,"$2,298,867.94","26,953","2,795",727,$85.29,$822.49,"$3,162.13",0,"$1,679,027.14","18,745","2,142",620,$89.57,$783.86,"$2,708.11",0,"$1,739,753.89","18,987","2,088",563,$91.63,$833.22,"$3,090.15",0,"$1,062,316.03","11,621","1,279",369,$91.41,$830.58,"$2,878.91",0,"$158,023.50","3,090",398,118,$51.13,$397.04,"$1,339.18",1,-44.07%,-12.01%
Alphagan P,Brimonidine Tartrate,1,"$169,598,964.91","7,992,704","906,812","210,032",$21.27,$187.03,$807.49,0,"$185,755,171.57","7,719,054","872,240","198,190",$24.12,$212.96,$937.26,0,"$195,752,266.04","7,420,241","823,924","188,334",$26.41,$237.59,"$1,039.39",0,"$200,421,266.97","6,877,190","755,388","175,525",$29.18,$265.32,"$1,141.84",0,"$210,027,839.92","6,566,250","703,541","165,875",$32.02,$298.53,"$1,266.18",0,9.73%,10.77%
Alprazolam,Alprazolam,15,"$94,990,197.37","881,343,130","13,411,860","2,683,102",$0.11,$7.08,$35.40,0,"$99,398,783.87","955,932,325","14,497,566","2,686,683",$0.11,$6.86,$37.00,0,"$95,049,432.50","909,020,881","13,975,361","2,629,488",$0.11,$6.80,$36.15,0,"$102,530,836.58","846,959,304","13,282,298","2,523,425",$0.12,$7.72,$40.63,0,"$93,317,667.74","773,403,961","12,641,095","2,398,423",$0.12,$7.38,$38.91,0,-0.17%,3.04%
Alprazolam ER,Alprazolam,2,"$1,508,281.38","2,442,044","48,141","11,835",$0.63,$31.33,$127.44,0,"$1,284,225.84","2,442,905","47,885","11,323",$0.54,$26.82,$113.42,0,"$1,445,884.69","2,477,669","48,096","9,838",$0.60,$30.06,$146.97,0,"$2,433,102.04","2,808,991","54,936","10,352",$0.89,$44.29,$235.04,0,"$2,057,933.76","2,459,329","50,093","9,664",$0.86,$41.08,$212.95,0,-3.79%,7.93%
Alprazolam Intensol,Alprazolam,1,"$97,019.06","34,914",796,319,$2.78,$121.88,$304.13,0,"$69,743.26","22,683",558,237,$3.07,$124.99,$294.28,0,"$36,106.86","11,379",300,183,$3.17,$120.36,$197.31,0,"$30,529.67","10,135",263,155,$3.01,$116.08,$196.97,0,"$53,181.20","17,595",367,173,$3.02,$144.91,$307.41,0,0.34%,2.12%
Alprazolam ODT,Alprazolam,2,"$715,612.82","458,651","7,383","2,811",$1.53,$96.93,$254.58,0,"$773,786.20","495,972","7,953","3,023",$1.51,$97.29,$255.97,0,"$751,931.14","486,706","7,961","2,927",$1.50,$94.45,$256.89,0,"$792,258.49","496,785","8,360","3,057",$1.54,$94.77,$259.16,0,"$746,321.62","449,722","7,535","2,726",$1.61,$99.05,$273.78,0,4.68%,1.25%
